Id,Name,Year,Release Date,Duration,newDirector,newCreator,newActors,newGenre
tt0325703,Lara Croft Tomb Raider: The Cradle of Life,2003,25 July 2003 (USA),117 min,Jan de Bont,Dean Georgaris,Angelina Jolie,Action
tt0325703,Lara Croft Tomb Raider: The Cradle of Life,2003,25 July 2003 (USA),117 min,Jan de Bont,Dean Georgaris,Angelina Jolie,Adventure
tt0325703,Lara Croft Tomb Raider: The Cradle of Life,2003,25 July 2003 (USA),117 min,Jan de Bont,Dean Georgaris,Angelina Jolie,Fantasy
tt0325703,Lara Croft Tomb Raider: The Cradle of Life,2003,25 July 2003 (USA),117 min,Jan de Bont,Dean Georgaris,Angelina Jolie,Action
tt0325703,Lara Croft Tomb Raider: The Cradle of Life,2003,25 July 2003 (USA),117 min,Jan de Bont,Dean Georgaris,Angelina Jolie,Adventure
tt0325703,Lara Croft Tomb Raider: The Cradle of Life,2003,25 July 2003 (USA),117 min,Jan de Bont,Dean Georgaris,Angelina Jolie,Fantasy
tt0325703,Lara Croft Tomb Raider: The Cradle of Life,2003,25 July 2003 (USA),117 min,Jan de Bont,Dean Georgaris,Angelina Jolie,Action
tt0325703,Lara Croft Tomb Raider: The Cradle of Life,2003,25 July 2003 (USA),117 min,Jan de Bont,Dean Georgaris,Angelina Jolie,Adventure
tt0325703,Lara Croft Tomb Raider: The Cradle of Life,2003,25 July 2003 (USA),117 min,Jan de Bont,Dean Georgaris,Angelina Jolie,Fantasy
tt0325703,Lara Croft Tomb Raider: The Cradle of Life,2003,25 July 2003 (USA),117 min,Jan de Bont,Dean Georgaris,Angelina Jolie,Action
tt0325703,Lara Croft Tomb Raider: The Cradle of Life,2003,25 July 2003 (USA),117 min,Jan de Bont,Dean Georgaris,Angelina Jolie,Adventure
tt0325703,Lara Croft Tomb Raider: The Cradle of Life,2003,25 July 2003 (USA),117 min,Jan de Bont,Dean Georgaris,Angelina Jolie,Fantasy
tt0325703,Lara Croft Tomb Raider: The Cradle of Life,2003,25 July 2003 (USA),117 min,Jan de Bont,Dean Georgaris,Angelina Jolie,Action
tt0325703,Lara Croft Tomb Raider: The Cradle of Life,2003,25 July 2003 (USA),117 min,Jan de Bont,Dean Georgaris,Angelina Jolie,Adventure
tt0325703,Lara Croft Tomb Raider: The Cradle of Life,2003,25 July 2003 (USA),117 min,Jan de Bont,Dean Georgaris,Angelina Jolie,Fantasy
tt0325703,Lara Croft Tomb Raider: The Cradle of Life,2003,25 July 2003 (USA),117 min,Jan de Bont,Dean Georgaris,Angelina Jolie,Action
tt0325703,Lara Croft Tomb Raider: The Cradle of Life,2003,25 July 2003 (USA),117 min,Jan de Bont,Dean Georgaris,Angelina Jolie,Adventure
tt0325703,Lara Croft Tomb Raider: The Cradle of Life,2003,25 July 2003 (USA),117 min,Jan de Bont,Dean Georgaris,Angelina Jolie,Fantasy
tt0325703,Lara Croft Tomb Raider: The Cradle of Life,2003,25 July 2003 (USA),117 min,Jan de Bont,Dean Georgaris,Angelina Jolie,Action
tt0325703,Lara Croft Tomb Raider: The Cradle of Life,2003,25 July 2003 (USA),117 min,Jan de Bont,Dean Georgaris,Angelina Jolie,Adventure
tt0325703,Lara Croft Tomb Raider: The Cradle of Life,2003,25 July 2003 (USA),117 min,Jan de Bont,Dean Georgaris,Angelina Jolie,Fantasy
tt0325703,Lara Croft Tomb Raider: The Cradle of Life,2003,25 July 2003 (USA),117 min,Jan de Bont,Dean Georgaris,Angelina Jolie,Action
tt0325703,Lara Croft Tomb Raider: The Cradle of Life,2003,25 July 2003 (USA),117 min,Jan de Bont,Dean Georgaris,Angelina Jolie,Adventure
tt0325703,Lara Croft Tomb Raider: The Cradle of Life,2003,25 July 2003 (USA),117 min,Jan de Bont,Dean Georgaris,Angelina Jolie,Fantasy
tt0325703,Lara Croft Tomb Raider: The Cradle of Life,2003,25 July 2003 (USA),117 min,Jan de Bont,Steven E. de Souza,Angelina Jolie,Action
tt0325703,Lara Croft Tomb Raider: The Cradle of Life,2003,25 July 2003 (USA),117 min,Jan de Bont,Steven E. de Souza,Angelina Jolie,Adventure
tt0325703,Lara Croft Tomb Raider: The Cradle of Life,2003,25 July 2003 (USA),117 min,Jan de Bont,Steven E. de Souza,Angelina Jolie,Fantasy
tt0325703,Lara Croft Tomb Raider: The Cradle of Life,2003,25 July 2003 (USA),117 min,Jan de Bont,Steven E. de Souza,Angelina Jolie,Action
tt0325703,Lara Croft Tomb Raider: The Cradle of Life,2003,25 July 2003 (USA),117 min,Jan de Bont,Steven E. de Souza,Angelina Jolie,Adventure
tt0325703,Lara Croft Tomb Raider: The Cradle of Life,2003,25 July 2003 (USA),117 min,Jan de Bont,Steven E. de Souza,Angelina Jolie,Fantasy
tt0325703,Lara Croft Tomb Raider: The Cradle of Life,2003,25 July 2003 (USA),117 min,Jan de Bont,Steven E. de Souza,Angelina Jolie,Action
tt0325703,Lara Croft Tomb Raider: The Cradle of Life,2003,25 July 2003 (USA),117 min,Jan de Bont,Steven E. de Souza,Angelina Jolie,Adventure
tt0325703,Lara Croft Tomb Raider: The Cradle of Life,2003,25 July 2003 (USA),117 min,Jan de Bont,Steven E. de Souza,Angelina Jolie,Fantasy
tt0325703,Lara Croft Tomb Raider: The Cradle of Life,2003,25 July 2003 (USA),117 min,Jan de Bont,Steven E. de Souza,Angelina Jolie,Action
tt0325703,Lara Croft Tomb Raider: The Cradle of Life,2003,25 July 2003 (USA),117 min,Jan de Bont,Steven E. de Souza,Angelina Jolie,Adventure
tt0325703,Lara Croft Tomb Raider: The Cradle of Life,2003,25 July 2003 (USA),117 min,Jan de Bont,Steven E. de Souza,Angelina Jolie,Fantasy
tt0325703,Lara Croft Tomb Raider: The Cradle of Life,2003,25 July 2003 (USA),117 min,Jan de Bont,Steven E. de Souza,Angelina Jolie,Action
tt0325703,Lara Croft Tomb Raider: The Cradle of Life,2003,25 July 2003 (USA),117 min,Jan de Bont,Steven E. de Souza,Angelina Jolie,Adventure
tt0325703,Lara Croft Tomb Raider: The Cradle of Life,2003,25 July 2003 (USA),117 min,Jan de Bont,Steven E. de Souza,Angelina Jolie,Fantasy
tt0325703,Lara Croft Tomb Raider: The Cradle of Life,2003,25 July 2003 (USA),117 min,Jan de Bont,Steven E. de Souza,Angelina Jolie,Action
tt0325703,Lara Croft Tomb Raider: The Cradle of Life,2003,25 July 2003 (USA),117 min,Jan de Bont,Steven E. de Souza,Angelina Jolie,Adventure
tt0325703,Lara Croft Tomb Raider: The Cradle of Life,2003,25 July 2003 (USA),117 min,Jan de Bont,Steven E. de Souza,Angelina Jolie,Fantasy
tt0325703,Lara Croft Tomb Raider: The Cradle of Life,2003,25 July 2003 (USA),117 min,Jan de Bont,Steven E. de Souza,Angelina Jolie,Action
tt0325703,Lara Croft Tomb Raider: The Cradle of Life,2003,25 July 2003 (USA),117 min,Jan de Bont,Steven E. de Souza,Angelina Jolie,Adventure
tt0325703,Lara Croft Tomb Raider: The Cradle of Life,2003,25 July 2003 (USA),117 min,Jan de Bont,Steven E. de Souza,Angelina Jolie,Fantasy
tt0325703,Lara Croft Tomb Raider: The Cradle of Life,2003,25 July 2003 (USA),117 min,Jan de Bont,Steven E. de Souza,Angelina Jolie,Action
tt0325703,Lara Croft Tomb Raider: The Cradle of Life,2003,25 July 2003 (USA),117 min,Jan de Bont,Steven E. de Souza,Angelina Jolie,Adventure
tt0325703,Lara Croft Tomb Raider: The Cradle of Life,2003,25 July 2003 (USA),117 min,Jan de Bont,Steven E. de Souza,Angelina Jolie,Fantasy
tt0364045,Taking Lives,2004,19 March 2004 (USA),103 min,D.J. Caruso,Michael Pye,Angelina Jolie,Crime
tt0364045,Taking Lives,2004,19 March 2004 (USA),103 min,D.J. Caruso,Michael Pye,Angelina Jolie,Mystery
tt0364045,Taking Lives,2004,19 March 2004 (USA),103 min,D.J. Caruso,Michael Pye,Angelina Jolie,Thriller
tt0364045,Taking Lives,2004,19 March 2004 (USA),103 min,D.J. Caruso,Michael Pye,Angelina Jolie,Crime
tt0364045,Taking Lives,2004,19 March 2004 (USA),103 min,D.J. Caruso,Michael Pye,Angelina Jolie,Mystery
tt0364045,Taking Lives,2004,19 March 2004 (USA),103 min,D.J. Caruso,Michael Pye,Angelina Jolie,Thriller
tt0364045,Taking Lives,2004,19 March 2004 (USA),103 min,D.J. Caruso,Michael Pye,Angelina Jolie,Crime
tt0364045,Taking Lives,2004,19 March 2004 (USA),103 min,D.J. Caruso,Michael Pye,Angelina Jolie,Mystery
tt0364045,Taking Lives,2004,19 March 2004 (USA),103 min,D.J. Caruso,Michael Pye,Angelina Jolie,Thriller
tt0364045,Taking Lives,2004,19 March 2004 (USA),103 min,D.J. Caruso,Michael Pye,Angelina Jolie,Crime
tt0364045,Taking Lives,2004,19 March 2004 (USA),103 min,D.J. Caruso,Michael Pye,Angelina Jolie,Mystery
tt0364045,Taking Lives,2004,19 March 2004 (USA),103 min,D.J. Caruso,Michael Pye,Angelina Jolie,Thriller
tt0364045,Taking Lives,2004,19 March 2004 (USA),103 min,D.J. Caruso,Jon Bokenkamp,Angelina Jolie,Crime
tt0364045,Taking Lives,2004,19 March 2004 (USA),103 min,D.J. Caruso,Jon Bokenkamp,Angelina Jolie,Mystery
tt0364045,Taking Lives,2004,19 March 2004 (USA),103 min,D.J. Caruso,Jon Bokenkamp,Angelina Jolie,Thriller
tt0364045,Taking Lives,2004,19 March 2004 (USA),103 min,D.J. Caruso,Jon Bokenkamp,Angelina Jolie,Crime
tt0364045,Taking Lives,2004,19 March 2004 (USA),103 min,D.J. Caruso,Jon Bokenkamp,Angelina Jolie,Mystery
tt0364045,Taking Lives,2004,19 March 2004 (USA),103 min,D.J. Caruso,Jon Bokenkamp,Angelina Jolie,Thriller
tt0364045,Taking Lives,2004,19 March 2004 (USA),103 min,D.J. Caruso,Jon Bokenkamp,Angelina Jolie,Crime
tt0364045,Taking Lives,2004,19 March 2004 (USA),103 min,D.J. Caruso,Jon Bokenkamp,Angelina Jolie,Mystery
tt0364045,Taking Lives,2004,19 March 2004 (USA),103 min,D.J. Caruso,Jon Bokenkamp,Angelina Jolie,Thriller
tt0364045,Taking Lives,2004,19 March 2004 (USA),103 min,D.J. Caruso,Jon Bokenkamp,Angelina Jolie,Crime
tt0364045,Taking Lives,2004,19 March 2004 (USA),103 min,D.J. Caruso,Jon Bokenkamp,Angelina Jolie,Mystery
tt0364045,Taking Lives,2004,19 March 2004 (USA),103 min,D.J. Caruso,Jon Bokenkamp,Angelina Jolie,Thriller
tt0172493,"Girl, Interrupted",1999,14 January 2000 (USA),127 min,James Mangold,Susanna Kaysen,Angelina Jolie,Biography
